filename,ext,total_sectors,total_bytes,resident,frags,persistence...
WINDOWS/Temp/e765aa52-e4bd-44b6-aeb9-aebfabbd7a18.tmp,tmp,114,58368,0,4,114,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.11.01.01.01,01,1,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.11.13.00.59.lkr1,lkr1,1,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WINDOWS/Temp/27f0f829-6ffe-48a4-a524-0f456f7fd6b1.tmp,tmp,5,2560,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.10.23.01.02.lkr1,lkr1,1,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.11.14.01.01,01,1272,651264,0,11,1272,1272,1217,1213,1207,1207,1174,1173,888,888,776,656,656,112,112,112
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.11.05.01.00.lkr1,lkr1,16,8192,0,1,16,11,11,11,11,11,11,11,11,11,11,11,11,3,3,3
Documents and Settings/Pat/Local Settings/Temporary Internet Files/Content.IE5/HTCPH3JR/close[1],,2,1024,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.11.05.01.00,00,16,8192,0,1,16,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.11.08.01.01,01,1,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.11.11.01.00,00,1344,688128,0,11,1344,840,768,768,768,768,768,768,768,656,464,464,464,24,24,24
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.10.22.01.01.lkr1,lkr1,3,1536,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Documents and Settings/All Users/Application Data/avg9/Antispam/sc17.bin.incr.2009.11.11.07.01.00,00,496,253952,0,4,496,496,495,495,495,495,495,495,495,495,495,495,495,431,167,167
Documents and Settings/Pat/Local Settings/Temporary Internet Files/Content.IE5/HTCPH3JR/unread[1],,2,1024,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
